class,class_name,feature,mean_abs_shap
2,Partial discharge,C2H4_positive_diff_fraction,0.131680548748747
2,Partial discharge,C2H2_q25,0.125467671844678
2,Partial discharge,CO_std,0.10762023993321822
2,Partial discharge,C2H2_late_mean,0.06402923450094249
2,Partial discharge,H2_late_minus_early,0.05921782622870286
2,Partial discharge,C2H2_early_mean,0.028170250868862903
2,Partial discharge,C2H2_mean,0.011149733423567
2,Partial discharge,C2H4_first,0.003677829120325964
2,Partial discharge,C2H2_trend_r2,0.0028955388137597592
3,Low energy discharge,CO_max_abs_diff,7.12822919709987
3,Low energy discharge,C2H2_max_abs_diff,5.0499771996098355
3,Low energy discharge,CO_first,3.8898129226206537
3,Low energy discharge,CO_last,3.6483414847090287
3,Low energy discharge,C2H4_max_abs_diff,3.499842296878391
3,Low energy discharge,C2H2_std_diff,2.77792220612701
3,Low energy discharge,C2H4_last,2.7130552523910363
3,Low energy discharge,C2H4_early_mean,2.7043961493976445
3,Low energy discharge,C2H4_positive_diff_fraction,2.6249916923699925
3,Low energy discharge,C2H4_first,2.4426624310425287
3,Low energy discharge,corr_H2_C2H4,2.3603026355154846
3,Low energy discharge,CO_min,2.2941826117091466
3,Low energy discharge,C2H4_max,2.290314142018487
3,Low energy discharge,C2H4_late_minus_early,2.2431581688393347
3,Low energy discharge,CO_early_mean,2.1703356516605568
3,Low energy discharge,CO_positive_diff_fraction,2.039080987257524
3,Low energy discharge,CO_late_mean,1.9808116538241005
3,Low energy discharge,C2H4_min,1.9141461352708093
3,Low energy discharge,C2H4_slope,1.6666205428025718
3,Low energy discharge,CO_trend_r2,1.380355981880855
3,Low energy discharge,CO_slope,1.3640824982591178
3,Low energy discharge,C2H4_delta,1.3236745108828492
3,Low energy discharge,C2H4_mean_diff,1.323674510880029
3,Low energy discharge,C2H4_late_mean,1.2860785850137497
3,Low energy discharge,C2H4_trend_r2,1.269820725096316
3,Low energy discharge,H2_std_diff,1.2370075391740825
3,Low energy discharge,H2_slope,1.2099283404598586
3,Low energy discharge,C2H2_q75,1.184100231496757
3,Low energy discharge,CO_max,1.1749845769398948
3,Low energy discharge,CO_q75,1.1521014644280723
3,Low energy discharge,H2_max_abs_diff,1.112795696427676
3,Low energy discharge,H2_first,0.9740692753817388
3,Low energy discharge,CO_std_diff,0.9355228104719289
3,Low energy discharge,H2_q25,0.9044338803480673
3,Low energy discharge,CO_q25,0.9035820381836236
3,Low energy discharge,H2_max,0.7400218522947913
3,Low energy discharge,H2_last,0.7393262250413255
3,Low energy discharge,C2H2_min,0.7356925877116252
3,Low energy discharge,CO_std,0.7024413524303614
3,Low energy discharge,CO_mean,0.6978051928951364
3,Low energy discharge,H2_early_mean,0.6917074373714888
3,Low energy discharge,corr_H2_CO,0.6881353774455594
3,Low energy discharge,CO_mean_diff,0.6836283308866546
3,Low energy discharge,CO_delta,0.6836283308866201
3,Low energy discharge,C2H2_delta,0.6730478361519694
3,Low energy discharge,C2H2_mean_diff,0.6730478361353328
3,Low energy discharge,C2H2_median,0.6715539671589911
3,Low energy discharge,H2_std,0.6540281404490552
