horizon_percent,representation,n_features,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,paired_ci95_low,paired_ci95_high
65,Temporal_82,82.0,0.830405093385344,0.021253117305474162,0.9455555555555556,0.8728761021081567,0.8666170350457376,0.945890749295584,,
65,Temporal_minus_Statistical,,,,,,0.04918963062276638,,0.0036426347270402523,0.0976214399070793
70,Statistical_28,28.0,0.8245077611870247,0.017845733824189736,0.9366666666666666,0.843061894131029,0.8333103201371923,0.9379214825656971,,
70,Temporal_82,82.0,0.8541191670268258,0.035343366555704886,0.9533333333333334,0.8956173029560511,0.8900353366578693,0.9539356289363405,,
70,Temporal_minus_Statistical,,,,,,0.05672501652067696,,0.009999651539734162,0.10404383007617382
75,Statistical_28,28.0,0.8458555157218172,0.02926343110301677,0.9411111111111111,0.8596105666196979,0.848427950895946,0.9423253357606315,,
75,Temporal_82,82.0,0.8837260906808673,0.022551445030789697,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,,
75,Temporal_minus_Statistical,,,,,,0.04871491222096669,,0.004480478862306173,0.09417170907255637
80,Statistical_28,28.0,0.8732730588002073,0.02942959557487069,0.9511111111111111,0.900192536637905,0.8775627599583478,0.9525106984008747,,
80,Temporal_82,82.0,0.884011978447435,0.01623438074216649,0.9622222222222222,0.9146866720536618,0.9096651512502185,0.9626439645625692,,
80,Temporal_minus_Statistical,,,,,,0.03210239129187076,,-0.009520906189960456,0.07534178522118903
85,Statistical_28,28.0,0.890162869180408,0.024748271284606323,0.9555555555555556,0.8968004821416878,0.8837662250427685,0.956527076028653,,
85,Temporal_82,82.0,0.9007006923384588,0.01696941258229991,0.9622222222222222,0.9024598017252696,0.9036254086533906,0.9623435763501942,,
85,Temporal_minus_Statistical,,,,,,0.01985918361062211,,-0.023298435092399924,0.06455635295674438
90,Statistical_28,28.0,0.9006437346891433,0.014771573682600753,0.96,0.9091654648544792,0.8983811924827848,0.9606089920975268,,
90,Temporal_82,82.0,0.906446031431086,0.013157804232945675,0.9633333333333334,0.9135517627655892,0.9091548367864157,0.9637843168544923,,
90,Temporal_minus_Statistical,,,,,,0.010773644303630925,,-0.030338500056601006,0.05327079223006522
95,Statistical_28,28.0,0.9033249411783186,0.01626936072830524,0.9655555555555555,0.9189958008459377,0.9185363219771627,0.9660177057282877,,
95,Temporal_82,82.0,0.9076386759216692,0.021009094140870096,0.9566666666666667,0.9114997791814579,0.8987658270967039,0.9577708899480945,,
95,Temporal_minus_Statistical,,,,,,-0.01977049488045879,,-0.0610612812953794,0.01803209015119559
100,Statistical_28,28.0,0.9116501468861319,0.014910087705091722,0.97,0.934067566782512,0.9328652107464064,0.9704282871492107,,
100,Temporal_82,82.0,0.9121562576396748,0.030382084548046563,0.9588888888888889,0.9148905569332847,0.9019357514162231,0.9599214737002505,,
100,Temporal_minus_Statistical,,,,,,-0.030929459330183318,,-0.0668473657604477,0.0021462806604016726
