scenario,severity,repeat,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_f1_change_vs_clean,seconds
random_missing_timestamps,0.05,16,162780,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.27382613999998284
random_missing_timestamps,0.05,17,172780,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.27205599800004165
random_missing_timestamps,0.05,18,182780,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.27128410199998143
random_missing_timestamps,0.05,19,192780,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2712921400000141
random_missing_timestamps,0.1,0,2830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.268341805999853
random_missing_timestamps,0.1,1,12830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.28074335699989206
random_missing_timestamps,0.1,2,22830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.27628074999984165
random_missing_timestamps,0.1,3,32830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2738444789999903
random_missing_timestamps,0.1,4,42830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2731239629999891
random_missing_timestamps,0.1,5,52830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.27409518600006777
random_missing_timestamps,0.1,6,62830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.28228968400003396
random_missing_timestamps,0.1,7,72830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.27178903999993054
random_missing_timestamps,0.1,8,82830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.30164744100011376
random_missing_timestamps,0.1,9,92830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29454000199984876
random_missing_timestamps,0.1,10,102830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.28200197399996796
random_missing_timestamps,0.1,11,112830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.278675271000111
random_missing_timestamps,0.1,12,122830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2864992649999749
random_missing_timestamps,0.1,13,132830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2861371930000587
random_missing_timestamps,0.1,14,142830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2882427199999711
random_missing_timestamps,0.1,15,152830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2829313649999676
random_missing_timestamps,0.1,16,162830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.28843499200002043
random_missing_timestamps,0.1,17,172830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.28352064599994264
random_missing_timestamps,0.1,18,182830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2887316459998601
random_missing_timestamps,0.1,19,192830,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29979466600002525
random_missing_timestamps,0.2,0,2930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29900014500003635
random_missing_timestamps,0.2,1,12930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29445323799996004
random_missing_timestamps,0.2,2,22930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.3003986740000073
random_missing_timestamps,0.2,3,32930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29234427399978813
random_missing_timestamps,0.2,4,42930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.30508517999987816
random_missing_timestamps,0.2,5,52930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.30113676600012695
random_missing_timestamps,0.2,6,62930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.30889575899982447
random_missing_timestamps,0.2,7,72930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2962862720000885
random_missing_timestamps,0.2,8,82930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.3018294240000614
random_missing_timestamps,0.2,9,92930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2990425049999885
random_missing_timestamps,0.2,10,102930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29648197000005894
random_missing_timestamps,0.2,11,112930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.29577993700013394
random_missing_timestamps,0.2,12,122930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2943538150000222
random_missing_timestamps,0.2,13,132930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2970019439999305
random_missing_timestamps,0.2,14,142930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2876451189999898
random_missing_timestamps,0.2,15,152930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2884645859999182
random_missing_timestamps,0.2,16,162930,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,0.0,0.2922351689999232
