scenario,severity,repeat,class_label,class_name,precision,recall,f1,support
random_missing_timestamps,0.05,0,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,0,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,1,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,1,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,1,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,1,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,2,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,2,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,2,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,2,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,3,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,3,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,3,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,3,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,4,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,4,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,4,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,4,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,5,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
