horizon_percent,class_label,class_name,n_test,empirical_class_coverage,class_singleton_rate,class_mean_set_size
50,1,Normal mode,731,0.8878248974008208,0.8919288645690835,1.1135430916552667
50,2,Partial discharge,38,0.9736842105263158,0.6842105263157895,1.3157894736842106
50,3,Low energy discharge,49,0.9591836734693877,0.6122448979591837,1.3877551020408163
50,4,Low-temperature overheating,82,0.9878048780487805,0.5121951219512195,1.5
55,1,Normal mode,731,0.8823529411764706,0.93296853625171,1.0683994528043776
55,2,Partial discharge,38,0.9210526315789473,0.868421052631579,1.131578947368421
55,3,Low energy discharge,49,0.9183673469387755,0.7551020408163265,1.2653061224489797
55,4,Low-temperature overheating,82,0.9634146341463414,0.7195121951219512,1.3048780487804879
60,1,Normal mode,731,0.8864569083447332,0.9302325581395349,1.0711354309165526
60,2,Partial discharge,38,0.9473684210526315,0.7105263157894737,1.2894736842105263
60,3,Low energy discharge,49,0.9591836734693877,0.6938775510204082,1.3265306122448979
60,4,Low-temperature overheating,82,0.9634146341463414,0.8414634146341463,1.1585365853658536
65,1,Normal mode,731,0.896032831737346,0.9521203830369357,1.0451436388508892
65,2,Partial discharge,38,0.9210526315789473,0.6842105263157895,1.3157894736842106
65,3,Low energy discharge,49,0.9387755102040817,0.7346938775510204,1.2244897959183674
65,4,Low-temperature overheating,82,0.975609756097561,0.9146341463414634,1.0853658536585367
70,1,Normal mode,731,0.8919288645690835,0.9767441860465116,1.0082079343365253
70,2,Partial discharge,38,0.9473684210526315,0.7368421052631579,1.263157894736842
70,3,Low energy discharge,49,0.9591836734693877,0.8163265306122449,1.183673469387755
70,4,Low-temperature overheating,82,0.975609756097561,0.8536585365853658,1.1341463414634145
75,1,Normal mode,731,0.896032831737346,0.9685362517099864,0.987688098495212
75,2,Partial discharge,38,0.8947368421052632,0.868421052631579,1.131578947368421
75,3,Low energy discharge,49,0.9591836734693877,0.8163265306122449,1.183673469387755
75,4,Low-temperature overheating,82,0.9634146341463414,0.8902439024390244,1.0975609756097562
80,1,Normal mode,731,0.8974008207934336,0.960328317373461,0.9658002735978112
80,2,Partial discharge,38,0.9473684210526315,0.8421052631578947,1.1578947368421053
80,3,Low energy discharge,49,0.9183673469387755,0.8367346938775511,1.1224489795918366
80,4,Low-temperature overheating,82,0.9390243902439024,0.8780487804878049,1.048780487804878
85,1,Normal mode,731,0.8905608755129959,0.957592339261286,0.9630642954856361
85,2,Partial discharge,38,0.9736842105263158,0.7631578947368421,1.236842105263158
85,3,Low energy discharge,49,0.9591836734693877,0.7959183673469388,1.2040816326530612
85,4,Low-temperature overheating,82,0.9512195121951219,0.8902439024390244,1.0609756097560976
90,1,Normal mode,731,0.8823529411764706,0.9411764705882353,0.9493844049247606
90,2,Partial discharge,38,0.9210526315789473,0.7631578947368421,1.236842105263158
90,3,Low energy discharge,49,0.9591836734693877,0.8163265306122449,1.183673469387755
90,4,Low-temperature overheating,82,0.9390243902439024,0.9146341463414634,1.0365853658536586
95,1,Normal mode,731,0.8768809849521204,0.9316005471956225,0.945280437756498
95,2,Partial discharge,38,0.9210526315789473,0.7105263157894737,1.3157894736842106
95,3,Low energy discharge,49,0.9591836734693877,0.8163265306122449,1.1428571428571428
95,4,Low-temperature overheating,82,0.975609756097561,0.9390243902439024,1.0365853658536586
100,1,Normal mode,731,0.8727770177838577,0.9357045143638851,0.9439124487004104
